广东频道,#genre#
广东珠江,http://61.140.124.156:8888/udp/239.77.0.114:5146
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8
广东珠江,http://113.86.204.95:9999/udp/239.77.0.1:5146
广东珠江,http://113.86.204.95:9999/udp/239.77.0.114:5146
广东珠江,http://219.135.208.218:8083/tsfile/live/0017_1.m3u8
广东珠江,http://120.197.112.28:9901/tsfile/live/1019_1.m3u8
广东珠江,http://113.86.205.10:808/hls/105/index.m3u8
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8
广东体育,http://61.140.124.156:8888/udp/239.77.0.168:5146
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东体育,http://116.21.123.201:8000/udp/239.77.1.97:5146
广东体育,http://219.135.208.218:8083/tsfile/live/1000_1.m3u8
广东体育,http://gmxw.7766.org:808/hls/2/index.m3u8
广东体育,http://api2.52tb.xyz/info?id=414&token=20230326xflvzc
广东体育,http://r.jdshipin.com/LiYdg
广东体育,http://v2.91kds.cn/b9/itouchv3.m3u8?id=gdty&auth=rinimabi
广东新闻,http://113.86.204.95:9999/udp/239.77.0.173:5146
广东新闻,http://gmxw.7766.org:808/hls/5/index.m3u8
广东新闻,http://v2.91kds.cn/b9/itouchv3.m3u8?id=gdxw&auth=rinimabi
广东卫视,http://66.165.240.154:8080/live/jsydws04/hls.m3u8
广东卫视,http://154.yfvodcdn.com:8080/live/jsydws04/hls.m3u8
广东卫视,http://113.66.5.224:4433/tsfile/live/0125_1.m3u8
广东卫视,http://58.63.64.214:8888/udp/239.77.1.19:5146
广东卫视,http://111.75.151.236:50085/newlive/live/hls/25/live.m3u8
广东卫视,http://58.35.70.169:10055/live/gdtv/hls.m3u8
广东卫视,http://xxw.me0.cn/api/migu.php?id=28
广东卫视,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=46
广东卫视,http://219.135.208.218:8083/tsfile/live/0016_1.m3u8
广东卫视,http://14.29.76.30:9901/tsfile/live/0125_1.m3u8
广州综合,http://v2.91kds.cn/b9/gdgztv.m3u8?id=gdgzzh&auth=rinimabi
广州新闻,http://v2.91kds.cn/b9/gdgztv.m3u8?id=gdgzxw&auth=rinimabi
广州竞赛,http://www.namewee.xyz/gudou.php?id=gzfilmsgaoqing
广州影视,http://v2.91kds.cn/b9/gdgztv.m3u8?id=gdgzys&auth=rinimabi

卫视频道,#genre#
浙江卫视,http://58.35.70.169:10055/live/zjtv/hls.m3u8
浙江卫视,http://111.75.151.236:50085/newlive/live/hls/21/live.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://66.165.240.154:8080/live/jsydws10/hls.m3u8
浙江卫视,http://154.yfvodcdn.com:8080/live/jsydws10/hls.m3u8
浙江卫视,http://58.35.70.169:10055/live/
浙江卫视,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=42
浙江卫视,http://14.29.76.30:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://113.57.109.36:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://php.jdshipin.com:8880/bst.php?id=zjwshd/4000000
湖南卫视,http://66.165.240.154:8080/live/jsydws06/hls.m3u8
湖南卫视,http://175.10.88.166:3000/udp/239.76.246.100:1234
湖南卫视,http://123.118.51.126:9000/rtp/239.3.1.132:8012
湖南卫视,http://175.10.59.126:4022/udp/239.76.246.101:1234
湖南卫视,http://121.24.98.185:8090/hls/56/index.m3u8
湖南卫视,http://124.230.56.124:55555/udp/239.76.246.100:1234
湖南卫视,http://iptv123.msns.cn:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://120.7.86.107:808/hls/18/index.m3u8
湖南卫视,http://1.202.10.44:8888/udp/225.1.8.132:8064
湖南卫视,http://120.7.86.41:808/hls/18/index.m3u8

港·澳·台,#genre#
翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
翡翠台,https://cloudfront41.lexanetwork.com:1344/relay01/livestream002.sdp/playlist.m3u8
翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
翡翠台,http://162.244.81.145:3333/live/telebostonrtb/playlist.m3u8
翡翠台,https://pi.0472.org/tv/fct.php?auth=230918
翡翠台,https://pi.0472.org/tv/fct.php?auth=2309081833
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://ali.hlspull.yximgs.com/live/twlivefhwwzpthzyztzzzxcxbfhzzfzvhdtzdvbtvzszxzfszzcvbctvbfc.flv
纬来体育,https://ktpremium.com:443/M919HR/5577/877061?c=
纬来体育,https://ktpremium.com:443/K3939/6757/877061
爱尔达体育,http://50.7.238.114:8278/eltasport_twn/playlist.m3u8?tid=md3567b35401611916221&ct=17874&tsum=be2a069324faa7f0737ca0d396d43745
爱尔达体育,https://ktpremium.com:443/K3939/6757/879250
爱尔达体育,https://ktpremium.com:443/K3939/6757/879252
爱尔达体育,https://ktpremium.com:443/M919HR/5577/879250?c=
爱尔达体育,https://ktpremium.com:443/K3939/6757/879251
爱尔达体育,https://ktpremium.com:443/M919HR/5577/879251?c=
ELEVEN体育,https://ktpremium.com:443/M919HR/5577/910889?c=
ELEVEN体育,https://ktpremium.com:443/K3939/6757/910890
ELEVEN体育,https://ktpremium.com:443/M919HR/5577/910890?c=
ELEVEN体育,https://ktpremium.com:443/K3939/6757/910889
明珠台,http://xjayrf.eatuo.com:9901/tsfile/live/1005_1.m3u8
明珠台,https://pi.0472.org/tv/mzt.php?auth=2309081833
明珠台,https://pi.0472.org/tv/mzt.php?auth=230918
明珠台,http://r.jdshipin.com/ZQ4kN
明珠台,http://nz189l149.bb27109.ctm.net:8892/bysid/2
明珠台,http://ali.hlspull.yximgs.com/live/twlivetcfzhvdzzxcodwoetzmncthvbstyreyhbnnvbdzzwthzyztvbmz.flv
明珠台,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxEzv3SLBhKEUmYG73triGDY/ts
星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
星河台,http://ali.hlspull.yximgs.com/live/twlivezzmzptvzszzwxnhzzwzztzzztyfzszzszcfzxfzwmxzdtvbxh.flv
星河台,http://r.jdshipin.com/sXuuD
凤凰中文,https://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,https://play-flive.ifeng.com/live/06OLEGEGM4G.flv
